S-10B
S-22B Google 4 [0.44542772861356933] S:55, I:0, D:91
S-22B Kaldi 4 [0.23303834808259588] S:42, I:2, D:34
S-22B Google 5 [0.40161725067385445] S:54, I:2, D:93
S-22B Kaldi 5 [0.18867924528301888] S:47, I:7, D:16
S-22B Google 6 [0.5161290322580645] S:6, I:0, D:7
S-22B Kaldi 6 [0.2903225806451613] S:4, I:0, D:5
S-22B Google 7 [0.2777777777777778] S:24, I:0, D:21
S-22B Kaldi 7 [0.18518518518518517] S:21, I:1, D:8
S-22B Google 8 [0.35874439461883406] S:32, I:1, D:42
S-22B Kaldi 8 [0.18385650224215247] S:27, I:2, D:9
S-22B Google 9 [0.2857142857142857] S:3, I:0, D:8
S-22B Kaldi 9 [0.11904761904761904] S:2, I:1, D:2
S-22B Google 10 [0.315] S:32, I:1, D:28
S-22B Kaldi 10 [0.2] S:30, I:2, D:8
S-22B Google 11 [0.4068627450980392] S:40, I:2, D:40
S-22B Kaldi 11 [0.19607843137254902] S:29, I:4, D:7
S-28D
S-28D  empty reference transcript
S-4D
S-4D Google 0 [0.5615671641791045] S:115, I:7, D:149
S-4D Kaldi 0 [0.4123134328358209] S:142, I:8, D:71
S-4D Google 1 [0.5891304347826087] S:110, I:3, D:157
S-4D Kaldi 1 [0.42391304347826086] S:120, I:9, D:66
S-4D Google 2 [0.5531914893617021] S:75, I:2, D:104
S-4D Kaldi 2 [0.3738601823708207] S:63, I:5, D:55
S-4D Google 3 [0.5344352617079889] S:88, I:1, D:101
S-4D Kaldi 3 [0.3608815426997245] S:69, I:2, D:60
S-4D Google 4 [0.5306553911205074] S:124, I:0, D:123
S-4D Kaldi 4 [0.3699788583509514] S:93, I:8, D:73
S-4D Google 5 [0.5859728506787331] S:121, I:1, D:133
S-4D Kaldi 5 [0.38009049773755654] S:102, I:9, D:56
S-8D
S-8D Google 0 [0.42696629213483145] S:39, I:1, D:69
S-8D Kaldi 0 [0.20599250936329588] S:37, I:4, D:14
S-8D Google 1 [0.3426294820717131] S:32, I:0, D:54
S-8D Kaldi 1 [0.1752988047808765] S:29, I:1, D:14
S-8D Google 2 [0.3082191780821918] S:37, I:1, D:93
S-8D Kaldi 2 [0.18036529680365296] S:41, I:7, D:31
S-8D Google 3 [0.3925619834710744] S:64, I:0, D:125
S-8D Kaldi 3 [0.2809917355371901] S:83, I:6, D:47
S-8D Google 4 [0.3497164461247637] S:82, I:2, D:98
S-8D Kaldi 4 [0.21550094517958412] S:76, I:6, D:31
S-8D Google 5 [0.31769722814498935] S:60, I:2, D:84
S-8D Kaldi 5 [0.17270788912579957] S:49, I:5, D:26
S-13A
S-13A  empty reference transcript
S-3C
S-3C Google 0 [0.3852813852813853] S:44, I:1, D:42
